Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,Project: Primary PI: Full Name,Project: Other Principal Investigators,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date
Gender-Based Violence Investigation and Prevention,Bureau of International Narcotics and Law Enforcement Affairs,Grant Proposal,Gender-Based Violence Investigation and Prevention,,PI: Sandra Aguilar-Gomez,5/1/2023,0,1,Mexico,0,Allocation,5/1/2023
K-CAI Agricultural Insurance,J-PAL North America,Grant Proposal,Agricultural Insurance Mexico,Mauricio Roomero,PI: Carlos Muñoz Piña,3/21/2023,0,1,Mexico,0,Allocation,3/21/2023
IGC-22-20028 - Local Authorities Qualitative Survey (Zambia),International Growth Centre (IGC),Grant Award,IGC_Local Authorities Qualitative Survey,,,4/30/2022,1,1,Zambia,0,Allocation,3/24/2023
WINROCK-22-10001 - Food for Progress Project Baseline Evaluation (Malawi),Winrock International,Grant Award,Winrock's Food for Progress Project,,,5/6/2022,1,1,Malawi,0,Allocation,2/25/2023
"Grameen, FIP, HTRI Project - PEMS NOFO",United States Department of State,Grant Proposal,Financial Inclusion to Reduce Vulnerability to Trafficking,,"PI: Mayara Felix , Cecilia Mo , Dean Yang",3/10/2022,0,1,LAC-Other,0,Allocation,6/2/2022
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,The Freedom Fund (Brazil),Ligia Kiss,,9/1/2020,1,1,United States,1,External Subaward,9/1/2020
IFP-22-10006: Behavioral Intelligence for Accelerating Varietal Turnover - Data Collection in Ethiopia (Kenya),International Food Policy Research Institute (IFPRI),Grant Award,Markets Risk and Resilience Ethiopia,Maria Porter,,12/12/2022,1,1,Kenya,0,Allocation,12/22/2022
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Reducing Violence versus building trust,Rebecca Wolfe,PI: Catlan E Reardon,9/28/2015,1,1,Nigeria,0,Internal Subaward,4/9/2018
MIT-25-20111: Extension the Peace & Recovery Initiative (MIT0019),Massachusetts Institute of Technology (MIT),Grant Award,Reducing Violence versus building trust,Rebecca Wolfe,PI: Catlan E Reardon,3/1/2024,1,1,Nigeria,0,Internal Subaward,3/25/2025
HWG-22-10003: 2022 Transforming IPA's Digital Capabilities (United States),Horace W. Goldsmith Foundation,Grant Award,Partnership for Tech RFE,,,3/13/2022,1,1,United States,0,Allocation,4/11/2022
"IGC-22-20029: Managers, Motivation, and Worker Productivity: Evidence from Survey Enumerators (Uganda)",International Growth Centre (IGC),Grant Award,Project with IPA Managers Monitoring and Workplace Incentives,Ritwika Sen,,5/4/2022,1,1,Uganda,0,Allocation,10/21/2022
JHU-23-10002: Wellspring for Empowered Entrepreneur Training (Uganda),Johns Hopkins University,Grant Award,Empowered Entrepreneur Training with SEE Change,Anita Shankar,,6/14/2022,1,1,Uganda,0,Allocation,5/16/2023
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,UCL (Greece),Alexandra Hartman,,9/1/2020,1,1,,1,External Subaward,9/1/2020
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,Academic Lead - University of Pennsylvania (Grossman),,,9/1/2020,1,1,,1,External Subaward,9/1/2020
CNHF-21-10001: Co-generating Evidence to Improve the Impact of Temporary Working and Residence Permits for Mi (Colombia),Conrad N. Hilton Foundation,Grant Award,Promoting Migrant Registration to SISBEN (PMRS),Andrés Ham,"PI: Ana María Rojas Méndez , César Mantilla",3/17/2021,1,1,Colombia,0,Allocation,4/29/2021
EDLR-22-10002 -National Learning Assessment System - Phase 2 (Liberia),"Ministry of Education, Liberia",Grant Award,Liberia National Learning Assessment System (NLAS) - Phase 2,Sarah Kabay,,5/20/2022,1,1,Sierra Leone,0,Allocation,3/27/2023
ISSER-23-10002: ReFinD for Women & Girls FIRST (Sierra Leone),"Institute of Statistical, Social and Economic Research (ISSER)",Grant Award,Women and Girls FIRST,Francis Annan,,4/12/2023,1,1,Sierra Leone,0,Allocation,9/8/2023
ISSER-23-10002: ReFinD for Women & Girls FIRST (Sierra Leone),"Institute of Statistical, Social and Economic Research (ISSER)",Grant Award,Women and Girls FIRST,Francis Annan,,4/12/2023,1,1,Sierra Leone,0,External Subaward,9/8/2023
ISSER-23-10002: ReFinD for Women & Girls FIRST (Sierra Leone),"Institute of Statistical, Social and Economic Research (ISSER)",Grant Award,Women and Girls FIRST,Francis Annan,,4/12/2023,1,1,Sierra Leone,0,External Subaward,9/8/2023
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Researcher Diversification Initiative-Uganda,,,5/11/2022,1,1,Uganda,0,External Subaward,8/17/2022
POR-22-10005: Pilot on Strengthening Whole Child Development (Kenya and Uganda),Porticus,Grant Award,Researcher Diversification Initiative - Global,,,3/2/2022,1,1,,0,Allocation,11/1/2022
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Researcher Diversification Initiative - Global,,,5/11/2022,1,1,,0,Allocation,8/17/2022
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Researcher Diversification Initiative - Global,,,5/11/2022,1,1,,0,Allocation,8/17/2022
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Researcher Diversification Initiative - Global,,,5/11/2022,1,1,,0,Allocation,8/17/2022
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Researcher Diversification Initiative - Global,,,5/11/2022,1,1,,0,Allocation,8/17/2022
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Researcher Diversification Initiative - Global,,,5/11/2022,1,1,,0,Allocation,8/17/2022
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Researcher Diversification Initiative - Global,,,5/11/2022,1,1,,0,Allocation,8/17/2022
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Researcher Diversification Initiative - Global,,,5/11/2022,1,1,,0,Allocation,8/17/2022
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Researcher Diversification Initiative - Global,,,5/11/2022,1,1,,0,External Subaward,8/17/2022
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Researcher Diversification Initiative - Global,,,5/11/2022,1,1,,0,Allocation,8/17/2022
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Researcher Diversification Initiative - Global,,,5/11/2022,1,1,,0,Allocation,8/17/2022
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Researcher Diversification Initiative - Global,,,5/11/2022,1,1,,0,Allocation,8/17/2022
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Researcher Diversification Initiative - Global,,,5/11/2022,1,1,,0,Allocation,8/17/2022
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Researcher Diversification Initiative - Global,,,5/11/2022,1,1,,0,Allocation,8/17/2022
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Asking About Violence (Nigeria),Lauren Young,"PI: Graeme Blair , Rebecca Littman , Andres Moya , Vivian Khedari DePierro , Hannah Baron , Elayne Stecher , Sandra Ley , Mohammed Bukar",9/28/2015,1,1,,1,External Subaward,4/9/2018
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Asking About Violence (Nigeria),Lauren Young,"PI: Graeme Blair , Rebecca Littman , Andres Moya , Vivian Khedari DePierro , Hannah Baron , Elayne Stecher , Sandra Ley , Mohammed Bukar",9/28/2015,1,1,,1,Allocation,4/9/2018
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Asking About Violence (Mexico),Lauren Young,"PI: Graeme Blair , Rebecca Littman , Andres Moya , Sandra Ley , Vivian Khedari DePierro , Hannah Baron , Elayne Stecher , Mohammed Bukar",9/28/2015,1,1,,0,External Subaward,4/9/2018
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Asking About Violence (Mexico),Lauren Young,"PI: Graeme Blair , Rebecca Littman , Andres Moya , Sandra Ley , Vivian Khedari DePierro , Hannah Baron , Elayne Stecher , Mohammed Bukar",9/28/2015,1,1,,0,Allocation,4/9/2018
USA-22-10014: Social Incentives for Childhood Immunization (Sierra Leone),United States Agency for International Development (USAID),Grant Award,Social Incentives for Childhood Immunization (SICI) - Path to Scale,Shana Warren,"PI: Mattie Toma , Anne Karing , Juliette Finetti , Desmond Maada Kangbai",11/25/2021,1,1,Sierra Leone,0,Allocation,9/13/2022
WEIS-25-10001: WAM for SICI Path-to-Scale (Sierra Leone),Weiss Asset Management,Grant Award,Social Incentives for Childhood Immunization (SICI) - Path to Scale,Shana Warren,"PI: Mattie Toma , Anne Karing , Juliette Finetti , Desmond Maada Kangbai",9/8/2023,1,1,Sierra Leone,0,Allocation,5/27/2025
ELM-25-10005: ELMA for SICI (Sierra Leone),The ELMA Philanthropies,Grant Award,Social Incentives for Childhood Immunization (SICI) - Path to Scale,Shana Warren,"PI: Mattie Toma , Anne Karing , Juliette Finetti , Desmond Maada Kangbai",2/7/2025,1,1,Sierra Leone,0,Allocation,2/14/2025
GAVI Malaria Vaccine Program - Sierra Leone,Global Alliance for Vaccines and Immunisation (GAVI),Grant Proposal,Social Incentives for Childhood Immunization (SICI) - Path to Scale,Shana Warren,"PI: Mattie Toma , Anne Karing , Juliette Finetti , Desmond Maada Kangbai",9/27/2024,0,1,Sierra Leone,0,Allocation,9/27/2024
ORA-25-10003: Open Road Impact for SICI,Open Road Alliance,Grant Award,Social Incentives for Childhood Immunization (SICI) - Path to Scale,Shana Warren,"PI: Mattie Toma , Anne Karing , Juliette Finetti , Desmond Maada Kangbai",4/16/2025,1,1,Sierra Leone,0,Allocation,10/14/2025
J-PAL IGI Proposal for SICI,Abdul Latif Jameel Poverty Action Lab (J-PAL),Grant Proposal,Social Incentives for Childhood Immunization (SICI) - Path to Scale,Shana Warren,"PI: Mattie Toma , Anne Karing , Juliette Finetti , Desmond Maada Kangbai",4/14/2025,0,1,Sierra Leone,0,Allocation,4/14/2025
EGF-20-10004 - Echidna ECE Integrated Programming in Ghana 2,The Echidna Giving Fund,Grant Award,Ghana ECE policy implementation,,,2/28/2020,1,1,Ghana,0,Allocation,2/28/2020
EGF-20-10004 - Echidna ECE Integrated Programming in Ghana 2,The Echidna Giving Fund,Grant Award,Ghana ECE policy implementation,,,2/28/2020,1,1,Ghana,0,Allocation,2/28/2020
ELM-21-10003: ECE policy implementation (Ghana),The ELMA Philanthropies,Grant Award,Ghana ECE policy implementation,,,6/16/2021,1,1,Ghana,0,Allocation,12/17/2021
ELM-24-10004: Ghana ECE policy implementation support - ELMA renewal,The ELMA Philanthropies,Grant Award,Ghana ECE policy implementation,,,8/10/2023,1,1,Ghana,0,Allocation,2/23/2024
EGF-24-10006: Ghana ECE policy implementation support - Echidna renewal,The Echidna Giving Fund,Grant Award,Ghana ECE policy implementation,,,8/10/2023,1,1,Ghana,0,Allocation,1/5/2024
ELM-24-10004: Ghana ECE policy implementation support - ELMA renewal,The ELMA Philanthropies,Grant Award,Ghana ECE policy implementation,,,8/10/2023,1,1,Ghana,0,Allocation,2/23/2024
EGF-24-10006: Ghana ECE policy implementation support - Echidna renewal,The Echidna Giving Fund,Grant Award,Ghana ECE policy implementation,,,8/10/2023,1,1,Ghana,0,Allocation,1/5/2024
EGF-25-10007 Echidna for 3-year TA for INSET,The Echidna Giving Fund,Grant Award,Ghana ECE policy implementation,,,5/2/2025,1,1,Ghana,0,Allocation,7/31/2025
ELMA - 3-year TA for INSET,The ELMA Philanthropies,Grant Proposal,Ghana ECE policy implementation,,,7/31/2025,0,1,Ghana,0,Allocation,7/31/2025
LIF-25-10004: LIF - IPA Policy Operating Support,Livelihood Impact Fund,Grant Award,Ghana ECE policy implementation,,,2/18/2025,1,1,Ghana,0,Allocation,2/18/2025
ELMA - 3-year TA for INSET,The ELMA Philanthropies,Grant Proposal,Ghana ECE policy implementation,,,7/31/2025,0,1,Ghana,0,Allocation,7/31/2025
EGF-25-10007 Echidna for 3-year TA for INSET,The Echidna Giving Fund,Grant Award,Ghana ECE policy implementation,,,5/2/2025,1,1,Ghana,0,Allocation,7/31/2025
GFF-20-10001 - Gender Initiative - Gaudio Family Foundation,The Gaudio Family Foundation,Grant Award,Ghana gender policy,,,9/15/2020,1,1,Ghana,0,Allocation,9/15/2020
"TGRF-21-10002: Evidence to impact for women and girls, Ghana, Uganda",Three Graces Foundation,Grant Award,Ghana gender policy,,,9/9/2021,1,1,Ghana,0,Allocation,9/9/2021
GFF-20-10001 - Gender Initiative - Gaudio Family Foundation,The Gaudio Family Foundation,Grant Award,Uganda gender policy,,,9/15/2020,1,1,Uganda,0,Allocation,9/15/2020
"TGRF-21-10002: Evidence to impact for women and girls, Ghana, Uganda",Three Graces Foundation,Grant Award,Uganda gender policy,,,9/9/2021,1,1,Uganda,0,Allocation,9/9/2021
GFF-22-10003: Evidence to Impact for Women and Girls,The Gaudio Family Foundation,Grant Award,Uganda gender policy,,,9/9/2022,1,1,Uganda,0,Allocation,12/20/2022
MAR-21-10003 Integrated evidence-informed partnerships with four ministries of education,"Douglas B. Marshall, Jr. Family Foundation",Grant Award,Embedded Evidence Lab - Zambia Education,,,10/9/2020,1,1,Zambia,0,Allocation,1/1/2021
"TGRF-21-10001, Integrated evidence-informed partnerships with four ministries of education, Ghana, Peru, Rwanda, Zambia",Three Graces Foundation,Grant Award,Embedded Evidence Lab - Zambia Education,,,9/9/2021,1,1,Zambia,0,Allocation,9/9/2021
MAR-24-10004: Integrated evidence-informed partnerships with four ministries of education grant renewal,"Douglas B. Marshall, Jr. Family Foundation",Grant Award,Embedded Evidence Lab - Zambia Education,,,5/20/2024,1,1,Zambia,0,Allocation,10/16/2024
"TGRF-21-10001, Integrated evidence-informed partnerships with four ministries of education, Ghana, Peru, Rwanda, Zambia",Three Graces Foundation,Grant Award,Embedded Evidence Lab - Peru Education,,,9/9/2021,1,1,Peru,0,Allocation,9/9/2021
MAR-21-10003 Integrated evidence-informed partnerships with four ministries of education,"Douglas B. Marshall, Jr. Family Foundation",Grant Award,Embedded Evidence Lab - Peru Education,,,10/9/2020,1,1,Peru,0,Allocation,1/1/2021
MAR-24-10004: Integrated evidence-informed partnerships with four ministries of education grant renewal,"Douglas B. Marshall, Jr. Family Foundation",Grant Award,Embedded Evidence Lab - Peru Education,,,5/20/2024,1,1,Peru,0,Allocation,10/16/2024
JCF-22-10007: Supporting the Development of an Ed Lab (Cote d'Ivoire),Jacobs Foundation,Grant Award,Embedded Evidence Lab - Côte d'Ivoire Education,,,10/15/2021,1,1,Francophone West Africa,0,Allocation,3/18/2022
JCF-22-10007: Supporting the Development of an Ed Lab (Cote d'Ivoire),Jacobs Foundation,Grant Award,Embedded Evidence Lab - Côte d'Ivoire Education,,,10/15/2021,1,1,Francophone West Africa,0,Allocation,3/18/2022
JCF-22-10007: Supporting the Development of an Ed Lab (Cote d'Ivoire),Jacobs Foundation,Grant Award,Embedded Evidence Lab - Côte d'Ivoire Education,,,10/15/2021,1,1,Francophone West Africa,0,Allocation,3/18/2022
JCF-22-10007: Supporting the Development of an Ed Lab (Cote d'Ivoire),Jacobs Foundation,Grant Award,Embedded Evidence Lab - Côte d'Ivoire Education,,,10/15/2021,1,1,Francophone West Africa,0,Allocation,3/18/2022
PEMS for One Health Liberia,University of Georgia,Grant Proposal,One Health Liberia,Nate Hansen,,6/2/2022,0,1,Sierra Leone,0,Allocation,6/2/2022
USDOS-22-10002: NAPTIP (Nigeria) & HTRI Embedded Lab - PEMS NOFO,United States Department of State,Grant Award,NAPTIP & HTRI Embedded Lab (Nigeria),Bernd Beber,"PI: Cecilia Mo , Alexandra Scacco , Rachel Steinacher , Prince Agwu",3/10/2022,1,1,Nigeria,0,Allocation,9/27/2022
NG Cares Refind,"Institute of Statistical, Social and Economic Research (ISSER)",Grant Proposal,NG Cares Evaluation,,PI: Laura Chioda,3/31/2023,0,1,Nigeria,0,Allocation,3/31/2023
COVID-19 Vaccine Misinformation,The Mercury Project,Grant Proposal,COVID-19 Vaccine Misinformation,,,3/31/2022,0,1,Nigeria,0,Allocation,3/31/2022
ThinkMD-23-10001: ThinkMD (USAID DIV) - Tech Health Diagnosis and Treatment (Nigeria),ThinkMD,Grant Award,ThinkMD - Increasing Health Worker Skills with Technology,Anja Sautmann,,5/31/2022,1,1,,0,External Subaward,5/4/2023
ThinkMD-23-10001: ThinkMD (USAID DIV) - Tech Health Diagnosis and Treatment (Nigeria),ThinkMD,Grant Award,ThinkMD - Increasing Health Worker Skills with Technology,Anja Sautmann,,5/31/2022,1,1,,0,Allocation,5/4/2023
BMG-21-10009_ Monitoring the Real Cost of Domestic Payments (Transaction Cost Index),Gates Foundation,Grant Award,ReFind - Copy Editor,,,10/12/2021,1,1,Ghana,0,Allocation,11/11/2021
UCSF Family Planning Project,"University of California, Los Angeles",Grant Proposal,Improving FP counseling and Follow-up Project,Beth Phillips,"PI: Kelsey Holt , Jenny Liu",5/25/2022,0,1,Kenya,0,Allocation,5/25/2022
Digital Financial Inclusion: Building Resilience Against Scams,University of Essex,Grant Proposal,RCT on Phone Scams in Kenya,,"PI: Lisa Spantig , Elif Kubilay",8/19/2022,0,1,Kenya,0,Allocation,8/19/2022
DIV: Mini RCT - Building Resilience Against Fraud,Development Innovations Ventures,Grant Proposal,RCT on Phone Scams in Kenya,,"PI: Lisa Spantig , Elif Kubilay",3/22/2023,0,1,Kenya,0,Allocation,3/22/2023
FID: Mini RCT - Building Resilience Against Fraud,University of Essex,Grant Proposal,RCT on Phone Scams in Kenya,,"PI: Lisa Spantig , Elif Kubilay",2/3/2023,0,1,Kenya,0,Allocation,2/3/2023
MAR-21-10003 Integrated evidence-informed partnerships with four ministries of education,"Douglas B. Marshall, Jr. Family Foundation",Grant Award,Global education policy,,,10/9/2020,1,1,,0,Allocation,1/1/2021
